load.py , False, 1638348709.703446 , error_code: 0 
plot_2.py , False, 1638348730.611611 , error_code: 0 
scratch.py , False, 1638348763.203409 , error_code: 0 
scratch.py , False, 1638348982.93781 , error_code: 0 
plot_2.py , True, 1638349036.208826 , error_code: 0 
scratch.py , True, 1638349134.0912619 , error_code: 1 
scratch.py , True, 1638349197.8466299 , error_code: 0 
scratch.py , False, 1638349300.7907991 , error_code: 1 
scratch.py , True, 1638349343.161673 , error_code: 1 
scratch.py , True, 1638349417.415927 , error_code: 1 
scratch.py , True, 1638349430.0893052 , error_code: 0 
scratch.py , False, 1638349469.214358 , error_code: 0 
plot_2.py , True, 1638349561.4301 , error_code: 0 
scratch.py , True, 1638390495.590146 , error_code: 1 
scratch.py , True, 1638390527.487961 , error_code: 0 
scratch.py , True, 1638391070.4279659 , error_code: 1 
scratch.py , True, 1638391181.4859068 , error_code: 0 
scratch.py , True, 1638391215.9871109 , error_code: 0 
scratch.py , True, 1638391333.958095 , error_code: 0 
scratch.py , True, 1638391514.243444 , error_code: 1 
scratch.py , True, 1638391549.125498 , error_code: 1 
scratch.py , True, 1638391569.7347388 , error_code: 1 
scratch.py , True, 1638391903.192571 , error_code: 0 
scratch.py , True, 1638391954.342718 , error_code: 0 
scratch.py , True, 1638392075.180535 , error_code: 1 
scratch.py , True, 1638392092.9881222 , error_code: 0 
scratch.py , True, 1638392122.114789 , error_code: 0 
plot_3.py , True, 1638392387.5904598 , error_code: 0 
plot_3.py , True, 1638393664.779673 , error_code: 0 
scratch.py , False, 1638393677.4703429 , error_code: 1 
scratch.py , True, 1638393707.5901241 , error_code: 0 
scratch.py , True, 1638393803.236366 , error_code: 0 
scratch.py , True, 1638393827.128124 , error_code: 0 
scratch.py , False, 1638393868.293526 , error_code: 0 
scratch.py , True, 1638393944.852475 , error_code: 1 
scratch.py , True, 1638393954.319626 , error_code: 0 
scratch.py , True, 1638394017.590253 , error_code: 0 
scratch.py , False, 1638394049.2893598 , error_code: 0 
scratch.py , True, 1638394236.124324 , error_code: 0 
scratch.py , False, 1638394283.7236962 , error_code: 0 
scratch.py , False, 1638394357.2486348 , error_code: 0 
scratch.py , False, 1638394385.1140292 , error_code: 0 
scratch.py , True, 1638394488.427694 , error_code: 0 
plot_3.p , True, 1638394541.7994208 , error_code: 2 
plot_3.py , False, 1638394547.558604 , error_code: 0 
plot_3.py , False, 1638394588.7279758 , error_code: 0 
plot_3.py , True, 1638396620.955563 , error_code: 0 
scratch.py , False, 1638396633.734865 , error_code: 0 
scratch.py , True, 1638396711.1640399 , error_code: 0 
scratch.py , True, 1638396737.752925 , error_code: 0 
scratch.py , False, 1638396858.0816379 , error_code: 0 
